City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
212,bredasdorp,-34.5322,20.0403,290.0,78,93,2.94,ZA,1707957598
213,saguenay,48.4168,-71.0657,264.21,68,40,9.77,CA,1707957331
214,vreed-en-hoop,6.8093,-58.198,299.33,78,6,4.06,GY,1707957598
215,atafu village,-8.5421,-172.5159,301.43,82,100,10.58,TK,1707957598
216,kuytun,54.3419,101.5036,258.38,89,100,3.31,RU,1707957598
217,lexington,37.9887,-84.4777,283.09,63,0,3.6,US,1707957554
218,brisas de zicatela,15.8369,-97.0419,302.44,65,0,3.09,MX,1707957598
219,vorgashor,67.5833,63.95,240.18,99,100,1.81,RU,1707957598
220,axim,4.8699,-2.2405,300.87,89,61,3.12,GH,1707957598
221,ghadamis,30.1337,9.5007,284.58,52,17,3.71,LY,1707957598
222,kachug,53.9606,105.8817,252.62,94,100,1.34,RU,1707957598
223,kerikeri,-35.2268,173.9474,295.87,56,55,3.54,NZ,1707957598
224,aasiaat,68.7098,-52.8699,243.42,91,65,2.78,GL,1707957599
225,port hedland,-20.3167,118.5667,303.18,74,40,3.6,AU,1707957599
226,chibougamau,49.9168,-74.3659,257.94,61,0,4.12,CA,1707957599
227,san patricio,28.017,-97.5169,291.39,82,100,4.57,US,1707957599
228,kingston,17.997,-76.7936,300.68,86,20,4.63,JM,1707957424
229,piacabucu,-10.4056,-36.4344,300.07,85,0,3.3,BR,1707957599
230,walvis bay,-22.9575,14.5053,290.68,82,23,1.54,NA,1707957599
231,kitimat,54.0524,-128.6534,276.99,69,0,1.79,CA,1707957599
232,ilulissat,69.2167,-51.1,252.16,45,20,1.54,GL,1707957599
233,messaad,34.1543,3.5031,286.23,39,100,2.65,DZ,1707957599
234,queenstown,-31.8976,26.8753,291.12,88,100,1.14,ZA,1707957599
235,mount pearl,47.5166,-52.7813,272.84,98,100,15.43,CA,1707957329
236,mogadishu,2.0371,45.3438,299.45,87,100,6.88,SO,1707957599
237,blenheim,-41.516,173.9528,300.11,39,1,2.68,NZ,1707957599
238,port douglas,-16.4833,145.4667,301.2,71,100,1.99,AU,1707957599
239,okhotsk,59.3833,143.3,251.73,89,100,4.1,RU,1707957599
240,chonchi,-42.6128,-73.8092,292.71,87,62,0.74,CL,1707957599
241,calingasta,-31.3308,-69.4078,299.92,37,0,3.16,AR,1707957600
242,cavan,53.9908,-7.3606,284.07,98,100,3.86,IE,1707957600
243,san rafael del yuma,18.4299,-68.6739,299.26,87,100,2.96,DO,1707957600
244,anloga,5.7947,0.8973,301.26,87,10,4.63,GH,1707957600
245,souillac,-20.5167,57.5167,300.36,89,40,2.57,MU,1707957600
246,tolanaro,-25.0319,46.9987,298.19,94,75,3.09,MG,1707957601
247,ballina,-28.8667,153.5667,301.92,60,26,4.37,AU,1707957601
248,auki,-8.7676,160.7034,301.79,74,79,3.96,SB,1707957601
249,vilyuysk,63.7553,121.6247,233.71,100,100,1.34,RU,1707957601
250,puerto escondido,15.85,-97.0667,302.61,65,0,3.09,MX,1707957441
251,ust'-ilimsk,58.0006,102.6619,257.72,95,100,1.34,RU,1707957544
252,sur,22.5667,59.5289,295.69,80,71,2.73,OM,1707957601
253,bandarbeyla,9.4942,50.8122,299.09,69,93,5.53,SO,1707957601
254,ola,59.5833,151.2833,251.41,85,100,3.32,RU,1707957601
255,tumayr,25.7039,45.868,291.67,46,0,5.15,SA,1707957601
256,tevriz,57.509,72.4042,245.2,91,100,4.48,RU,1707957602
257,sorong,-0.8833,131.25,301.87,72,100,6.16,ID,1707957144
